id,name,current_price,price_change_24h,price_change_percentage_24h,high_24h,low_24h,ath,atl,time_stamp
polygon-pos-bridged-dai-polygon-pos,Polygon PoS Bridged DAI (Polygon POS),0.999904,1.793e-05,0.00179,1.0,0.9989,1.025,0.957024,01-08-25_14-13-00
treehouse-eth,Treehouse ETH,4441.59,-179.55682961499315,-3.88555,4621.15,4361.64,4837.52,1683.91,01-08-25_14-13-00
bridged-usdc-polygon-pos-bridge,Bridged USDC (Polygon PoS Bridge),0.999625,-0.000193397031903575,-0.01934,0.999879,0.999557,1.028,0.975633,01-08-25_14-13-00
wrapped-hype,Wrapped HYPE,39.91,-3.9530872300270943,-9.01332,44.63,39.42,49.81,9.43,01-08-25_14-13-00
axie-infinity,Axie Infinity,2.24,-0.15046949856935266,-6.29185,2.41,2.2,164.9,0.123718,01-08-25_14-13-00
unit-bitcoin,Unit Bitcoin,115712.0,-2808.3135052705184,-2.36947,118688.0,114360.0,122998.0,73355.0,01-08-25_14-13-00
zksync,ZKsync,0.051479,-0.003766070920166995,-6.81707,0.055539,0.04999022,0.320983,0.03697818,01-08-25_14-13-00
chiliz,Chiliz,0.03814337,-0.002320850133567101,-5.73556,0.04066617,0.03747709,0.878633,0.00410887,01-08-25_14-13-00
venom,Venom,0.177276,-0.006222153177212364,-3.39086,0.183498,0.176768,0.782403,0.03459851,01-08-25_14-13-00
wemix-token,WEMIX,0.81497,-0.07573561257305939,-8.50288,0.913741,0.758832,24.71,0.128398,01-08-25_14-13-00
olympus,Olympus,22.42,-0.20269664272869292,-0.89591,22.69,22.22,1415.26,7.54,01-08-25_14-13-00
eigenlayer,EigenCloud (prev. EigenLayer),1.15,-0.10361050195601229,-8.2818,1.26,1.12,5.65,0.668501,01-08-25_14-13-00
bybit-staked-sol,Bybit Staked SOL,185.83,-8.945544578918543,-4.59264,197.05,183.17,308.6,103.09,01-08-25_14-13-00
wormhole,Wormhole,0.0762,-0.005422862744720425,-6.64383,0.083251,0.074981,1.66,0.051583,01-08-25_14-13-00
ronin,Ronin,0.514474,-0.030616701442853778,-5.61681,0.546285,0.50744,4.45,0.196601,01-08-25_14-13-00
beam-2,Beam,0.00691872,-0.000570497479755946,-7.61759,0.00748921,0.0068157,0.04416304,0.00429024,01-08-25_14-13-00
deep,DeepBook,0.140677,-0.014612002171885158,-9.40955,0.156433,0.138022,0.341085,0.01073218,01-08-25_14-13-00
convex-finance,Convex Finance,4.27,-0.25759113176796067,-5.68571,4.59,4.07,60.09,1.44,01-08-25_14-13-00
ether-fi-staked-btc,Ether.fi Staked BTC,114591.0,-4513.807175968803,-3.78978,120307.0,112755.0,122924.0,58795.0,01-08-25_14-13-00
benqi-liquid-staked-avax,BENQI Liquid Staked AVAX,26.95,-1.452766110490348,-5.11564,28.57,26.54,103.55,9.25,01-08-25_14-13-00
wrapped-avax,Wrapped AVAX,22.15,-1.2630033715526068,-5.39369,23.46,21.8,2000.68,7.91,01-08-25_14-13-00
1inch,1inch,0.246028,-0.019094151930315106,-7.20201,0.266147,0.241901,8.65,0.149574,01-08-25_14-13-00
axelar,Axelar,0.337225,-0.020146650096288243,-5.63745,0.360389,0.330818,2.64,0.274681,01-08-25_14-13-00
aethir,Aethir,0.03199021,-0.002697736321938364,-7.77716,0.03521398,0.03144617,0.118536,0.02439678,01-08-25_14-13-00
movement,Movement,0.130842,-0.00887580604963803,-6.35265,0.140062,0.128824,1.45,0.112218,01-08-25_14-13-00
eos,EOS,0.506177,-0.02696470862290723,-5.0577,0.534231,0.498157,22.71,0.402746,01-08-25_14-13-00
just,JUST,0.03419597,-0.001603333898578967,-4.47867,0.03579931,0.03355208,0.193254,0.00476275,01-08-25_14-13-00
polygon-bridged-wbtc-polygon-pos,Polygon Bridged WBTC (Polygon POS),115742.0,-2573.2258483587066,-2.17489,118691.0,114348.0,122558.0,49937.0,01-08-25_14-13-00
